square,north,east,flake_(n),blade_(n),blade_fragment_(n),core_(n),burin_flake_(n),burin_blade_(n),burin_blade_fragment_(n),scraper_flake_(n),scraper_blade_(n),scraper_blade_fragment_(n),borer_(n),borer_fragment_(n),borer_blade_fragment_(n),zinken_(n),zinken_fragment_(n),projectile_(n),total_count,cortex,retouche,patina_white,patina_yellow,burnt
225,20,9,5,,,,,,,,,,,,,,,,5,2,,,,0
226,20,10,3,,,,,,,,,,,,,,,,3,,,1,,0
227,20,11,8,,,,,,,,,,,,,,,,8,,,,,1
228,20,12,9,,,,,,,,,,,,,,,,9,2,,1,,0
229,20,13,4,,,,,,,,,,,,,,,,4,,,,,1
230,19,12,5,,,,,,,,,,,,,,,,5,,,,,0
231,19,13,,,,,,,,,,,,,,,,,0,,,,,0
232,18,12,,,,,,,,,,,,,,,,,0,,,,,0
233,18,13,,,,,,,,,,,,,,,,,0,,,,,0
234,17,13,,,,,,,,,,,,,,,,,0,,,,,0
235,16,13,,,,,,,,,,,,,,,,,0,,,,,0
236,15,13,,,,,,,,,,,,,,,,,0,,,,,0
237,20,5,,,,,,,,,,,,,,,,,0,,,,,0
238,3,13,,,,,,,,,,,,,,,,,0,,,,,0
239,4,13,,,,,,,,,,,,,,,,,0,,,,,0
240,5,14,,,,,,,,,,,,,,,,,0,,,,,0
test,10,0,,,,,,,,,,,,,,,,,0,,,,,0
test,13,0,,,,,,,,,,,,,,,,,0,,,,,0
test,16,0,,,,,,,,,,,,,,,,,0,,,,,0
