count,artefact,code,id,investigator,investigator_id,code_data,site,country,long,lat,recovery_method,classification,raw_material,ba_1_1,ba_1_2,ba_1_3,ba_1_4,ba_1_5,ba_1_6,ba_1_7,ba_1_8,ba_1_9,ba_1_10,ba_2_1,ba_2_2,ba_2_3,ba_2_4,ba_2_5,ba_2_6,ba_2_7,ba_2_8,ba_2_9,ba_2_10,ba_2_11,ba_3_1,ba_3_2,ba_3_3,ba_3_4,ba_4_1,ba_4_2,ba_4_3,ba_5_1,ba_5_2,ba_5_3,ba_6_1,ba_6_2,ba_6_3,ba_6_4,ba_6_5,ba_7_1,ba_7_2,ba_7_3,ba_7_4,ba_7_5,ba_7_6,ba_7_7,ba_8_1,ba_9_1,ba_9_2,ba_9_3,ba_9_4,ba_10_1,ba_10_2,ba_10_3,ba_10_4,ba_10_5,ba_10_6,ba_10_7,ba_11_1,ba_11_2,ba_11_3,ba_11_4,ba_12_1,ba_12_2,ba_12_3,ba_12_4,ba_12_5,ba_12_6,ba_12_7,ba_13_1,ba_13_2,ba_13_3,ba_13_4,length,width,thickness,weight,reference
33,Blade,VKH 415,415x2_P7,JBP,2021_95,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,47.8,23.8,5.5,4.68,(Fischer 1988)
34,Blade,VKH 415,415x2_P6,JBP,2021_96,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,36.7,12.0,3.0,1.31,(Fischer 1988)
35,Blade,VKH 415,415x2,JBP,2021_97,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76.1,30.7,10.5,18.32,(Fischer 1988)
36,Blade,VKH 415,415x2_C5,JBP,2021_98,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,52.4,20.4,9.7,10.28,(Fischer 1988)
37,Blade,VKH 415,415x2_5,JBP,2021_103,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,72.5,25.1,16.1,30.78,(Fischer 1988)
38,Blade,VKH 415,415x2_A2,JBP,2021_104,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,128.2,36.0,24.4,127.55,(Fischer 1988)
39,Blade,VKH 415,415x2,JBP,2021_105,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,113.0,38.0,18.0,60.11,(Fischer 1988)
40,Blade,VKH 415,415x2_D8,JBP,2021_106,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,121.9,42.9,20.9,82.42,(Fischer 1988)
41,Blade,VKH 415,415x2_D12,JBP,2021_107,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,124.1,48.3,13.8,67.49,(Fischer 1988)
42,Blade,VKH 415,415x2_E5,JBP,2021_108,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,110.5,43.7,15.1,73.35,(Fischer 1988)
43,Blade,VKH 415,415x2,JBP,2021_109,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75.3,22.3,6.1,17.63,(Fischer 1988)
44,Blade,VKH 415,415x2_B8,JBP,2021_110,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,94.6,37.3,11.4,34.86,(Fischer 1988)
45,Blade,VKH 415,415x2,JBP,2021_111,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,55.5,27.1,7.5,17.05,(Fischer 1988)
46,Blade,VKH 415,415x2_2,JBP,2021_112,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,70.5,15.8,9.6,14.22,(Fischer 1988)
47,Blade,VKH 415,415x2_J2,JBP,2021_113,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34.8,16.1,4.6,2.78,(Fischer 1988)
48,Blade,VKH 415,415x2_A9,JBP,2021_114,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.8,13.0,9.4,4.61,(Fischer 1988)
49,Blade,VKH 415,415x2,JBP,2021_115,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,92.3,32.3,18.1,58.18,(Fischer 1988)
